               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,            0.032483,            0.020635,           0.0053402,             0.79759,              0.8105,             0.86675,             0.53173,            0.030599,            0.017797,            0.014587,            0.006832,            0.006832,            0.006832
                  50,            0.031553,            0.019173,           0.0050222,              0.8676,             0.76546,             0.84205,             0.50969,            0.031764,            0.020283,            0.014171,            0.006766,            0.006766,            0.006766
                  51,            0.032723,            0.020163,           0.0054018,              0.8233,             0.79875,             0.84505,             0.51377,            0.031485,            0.019815,            0.015453,              0.0067,              0.0067,              0.0067
                  52,            0.033004,            0.019356,           0.0050224,             0.86134,             0.79525,             0.87062,              0.5305,            0.030493,            0.017292,            0.012686,            0.006634,            0.006634,            0.006634
                  53,            0.032075,            0.019016,           0.0052947,             0.85358,             0.80784,             0.86446,             0.53509,            0.030024,            0.019732,            0.014015,            0.006568,            0.006568,            0.006568
                  54,            0.031876,            0.018909,           0.0046935,             0.85054,             0.82752,              0.8814,             0.53847,            0.031152,            0.020321,            0.014488,            0.006502,            0.006502,            0.006502
                  55,            0.032154,            0.018758,           0.0047895,             0.85887,             0.82525,             0.87573,             0.53718,            0.031907,            0.018284,             0.01329,            0.006436,            0.006436,            0.006436
                  56,            0.031047,            0.019112,           0.0044625,             0.83532,             0.80878,             0.87394,             0.54102,            0.031398,            0.019363,            0.013239,             0.00637,             0.00637,             0.00637
                  57,            0.030849,            0.019636,           0.0046788,             0.87672,             0.81794,             0.89024,             0.54807,            0.030849,             0.01906,            0.012312,            0.006304,            0.006304,            0.006304
                  58,            0.030764,            0.019652,           0.0049801,             0.81151,             0.80138,             0.85947,               0.532,            0.031277,            0.020267,            0.018362,            0.006238,            0.006238,            0.006238
                  59,            0.030248,            0.018031,             0.00418,              0.8549,             0.79453,             0.86117,             0.52659,            0.030335,            0.019819,            0.017647,            0.006172,            0.006172,            0.006172
                  60,            0.031702,            0.019262,           0.0043895,             0.85595,              0.8205,             0.87069,             0.52132,            0.030522,             0.01785,            0.012951,            0.006106,            0.006106,            0.006106
                  61,            0.030572,            0.017921,           0.0045322,             0.87389,             0.79706,             0.87966,             0.52806,            0.030566,            0.016972,            0.019804,             0.00604,             0.00604,             0.00604
                  62,            0.029555,            0.018504,           0.0046099,             0.81311,             0.78818,             0.83935,             0.49891,            0.032999,            0.018219,            0.019898,            0.005974,            0.005974,            0.005974
                  63,            0.029888,            0.018443,           0.0042544,             0.82134,             0.80247,             0.86774,             0.53191,            0.029965,            0.018975,            0.019465,            0.005908,            0.005908,            0.005908
                  64,            0.030222,            0.017923,           0.0040767,             0.88016,             0.83414,             0.88821,              0.5574,            0.028827,            0.017451,            0.012307,            0.005842,            0.005842,            0.005842
                  65,             0.03046,            0.018503,           0.0037248,              0.8641,             0.82313,             0.88446,             0.53739,            0.031647,            0.018229,            0.011642,            0.005776,            0.005776,            0.005776
                  66,             0.03069,            0.019488,           0.0040027,             0.86435,             0.81605,             0.88203,             0.53906,            0.030464,            0.016882,            0.012037,             0.00571,             0.00571,             0.00571
                  67,            0.029775,            0.018618,           0.0035933,             0.85476,             0.81756,             0.87052,             0.53489,            0.030283,            0.017234,            0.017843,            0.005644,            0.005644,            0.005644
                  68,            0.030251,            0.019002,           0.0039496,             0.88289,             0.79845,              0.8732,             0.52641,            0.030844,            0.017934,            0.015042,            0.005578,            0.005578,            0.005578
                  69,            0.029379,            0.017953,           0.0035643,             0.89409,             0.80112,             0.87768,             0.55198,            0.030455,            0.018855,            0.010699,            0.005512,            0.005512,            0.005512
                  70,            0.029036,            0.018231,           0.0037156,             0.86609,             0.83078,             0.88536,             0.53568,            0.030191,            0.018964,            0.010746,            0.005446,            0.005446,            0.005446
                  71,            0.030058,            0.017902,           0.0036292,             0.87571,             0.80087,             0.88793,             0.56096,            0.029416,            0.018734,              0.0112,             0.00538,             0.00538,             0.00538
                  72,            0.028861,            0.018004,           0.0038781,             0.87889,             0.82712,             0.88513,             0.54659,            0.028367,            0.017493,            0.010597,            0.005314,            0.005314,            0.005314
                  73,            0.029869,            0.017881,           0.0037698,             0.88675,             0.80904,             0.89007,             0.55447,            0.029454,            0.017603,            0.010633,            0.005248,            0.005248,            0.005248
                  74,            0.028642,            0.017942,           0.0035467,             0.87666,             0.81317,             0.88734,              0.5554,            0.029642,            0.017625,            0.015738,            0.005182,            0.005182,            0.005182
                  75,            0.028448,            0.018334,           0.0032722,             0.84013,             0.83609,             0.88335,             0.55929,            0.029625,            0.017162,            0.012395,            0.005116,            0.005116,            0.005116
                  76,            0.027777,            0.017437,           0.0037077,             0.87768,             0.81082,             0.87714,             0.53829,            0.030084,            0.017192,            0.013545,             0.00505,             0.00505,             0.00505
                  77,            0.027589,             0.01763,           0.0037362,              0.8565,             0.82684,             0.88048,             0.55214,            0.030212,            0.016293,             0.01248,            0.004984,            0.004984,            0.004984
                  78,             0.02776,            0.017852,           0.0034668,             0.85597,             0.82143,              0.8814,             0.55267,            0.029073,            0.016652,            0.013286,            0.004918,            0.004918,            0.004918
                  79,            0.027514,            0.017838,           0.0031463,             0.85599,             0.82529,             0.87772,             0.55599,            0.029208,            0.017241,            0.013451,            0.004852,            0.004852,            0.004852
                  80,             0.02774,            0.016494,           0.0033142,             0.86312,             0.80147,              0.8701,             0.53293,            0.031099,            0.017306,            0.017462,            0.004786,            0.004786,            0.004786
