               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.033211,             0.02218,             0.01816,             0.83327,             0.77088,             0.83453,             0.46016,            0.036327,            0.022777,            0.021077,             0.00505,             0.00505,             0.00505
                  52,            0.033387,              0.0224,             0.01822,             0.85876,              0.7492,             0.83877,             0.46419,            0.035197,            0.022322,            0.021465,            0.004951,            0.004951,            0.004951
                  53,            0.032963,            0.022186,            0.018213,             0.84847,             0.75528,             0.83666,             0.46786,            0.035478,             0.02259,            0.021952,            0.004852,            0.004852,            0.004852
                  54,            0.032936,            0.022479,            0.018141,             0.81734,             0.78565,             0.83945,              0.4716,            0.034412,            0.022687,            0.021452,            0.004753,            0.004753,            0.004753
                  55,            0.032743,            0.021933,            0.017928,             0.82268,             0.77518,             0.84147,              0.4702,            0.034927,            0.022711,            0.020979,            0.004654,            0.004654,            0.004654
                  56,            0.032097,            0.021045,            0.017835,             0.87797,             0.75452,              0.8465,             0.46837,            0.035428,             0.02264,            0.021102,            0.004555,            0.004555,            0.004555
                  57,            0.032421,            0.021446,            0.017884,             0.84203,             0.76455,             0.83158,             0.45799,            0.035267,            0.022968,            0.021633,            0.004456,            0.004456,            0.004456
                  58,            0.031969,            0.021789,             0.01787,             0.82647,              0.7668,             0.82873,              0.4606,            0.035309,            0.023112,             0.02187,            0.004357,            0.004357,            0.004357
                  59,            0.032019,            0.021274,            0.017727,             0.85699,             0.77413,              0.8371,             0.47256,            0.034677,            0.022836,            0.021357,            0.004258,            0.004258,            0.004258
                  60,            0.031765,            0.021688,            0.017869,             0.85622,             0.75625,             0.83495,             0.46201,            0.035283,            0.022693,            0.021401,            0.004159,            0.004159,            0.004159
                  61,            0.031458,            0.021397,            0.017819,             0.84056,             0.79162,              0.8399,              0.4737,             0.03468,            0.022377,             0.02085,             0.00406,             0.00406,             0.00406
                  62,            0.031112,            0.021708,            0.017758,             0.83223,             0.77859,             0.83285,             0.46187,            0.035175,            0.023087,            0.021616,            0.003961,            0.003961,            0.003961
                  63,            0.031764,            0.021157,            0.017833,             0.84939,             0.78248,             0.84492,             0.46999,             0.03557,            0.022883,            0.020933,            0.003862,            0.003862,            0.003862
                  64,            0.031003,            0.021594,            0.017547,             0.87347,             0.75114,             0.83654,             0.47326,            0.035277,            0.023101,            0.021075,            0.003763,            0.003763,            0.003763
                  65,            0.031127,            0.021392,            0.017725,             0.82085,             0.79148,              0.8397,               0.473,            0.034837,            0.022939,             0.02105,            0.003664,            0.003664,            0.003664
                  66,            0.030747,            0.021282,            0.017733,             0.84513,              0.7661,             0.83676,             0.46057,            0.035923,            0.023135,            0.022267,            0.003565,            0.003565,            0.003565
                  67,            0.031005,            0.021272,            0.017721,             0.87252,             0.76071,             0.84478,             0.47142,            0.035194,            0.022902,            0.021229,            0.003466,            0.003466,            0.003466
                  68,             0.03102,            0.020831,            0.017636,             0.87834,             0.74951,             0.83476,             0.46668,            0.035352,             0.02339,            0.021213,            0.003367,            0.003367,            0.003367
