Timestamp,Filename,Violation Type,Confidence
20250506_194609,20250506_194609_20250506_194607_no-helm_conf0.82.jpg,no-helm,0.821904718875885
20250506_194611,20250506_194611_20250506_194609_no-vest_conf0.72.jpg,no-vest,0.7234731912612915
20250506_194613,20250506_194613_20250506_194611_no-helm_conf0.76.jpg,no-helm,0.7623084187507629
20250506_194616,20250506_194616_20250506_194613_no-vest_conf0.81.jpg,no-vest,0.8134305477142334
20250506_194618,20250506_194618_20250506_194616_no-helm_conf0.88.jpg,no-helm,0.8821617960929871
20250506_194620,20250506_194620_20250506_194618_no-vest_conf0.86.jpg,no-vest,0.8562337160110474
20250506_194622,20250506_194622_20250506_194620_no-helm_conf0.89.jpg,no-helm,0.8888880014419556
20250506_194624,20250506_194624_20250506_194622_no-helm_conf0.90.jpg,no-helm,0.9022451043128967
20250506_194852,20250506_194852_20250506_194850_no-helm_conf0.54.jpg,no-helm,0.5424851179122925
20250506_194915,20250506_194915_20250506_194913_no-vest_conf0.71.jpg,no-vest,0.711188554763794
20250506_195055,20250506_195055_20250506_195053_no-helm_conf0.68.jpg,no-helm,0.6768694519996643
20250506_195111,20250506_195111_20250506_195109_no-helm_conf0.65.jpg,no-helm,0.6536272168159485
20250506_195116,20250506_195116_20250506_195114_no-vest_conf0.68.jpg,no-vest,0.6755868196487427
20250506_195119,20250506_195119_20250506_195117_no-helm_conf0.73.jpg,no-helm,0.734549343585968
20250506_195121,20250506_195121_20250506_195119_no-helm_conf0.73.jpg,no-helm,0.7269682288169861
20250506_195144,20250506_195144_20250506_195142_no-helm_conf0.55.jpg,no-helm,0.5498502254486084
20250506_195229,20250506_195229_20250506_195227_no-helm_conf0.64.jpg,no-helm,0.6419639587402344
20250506_195235,20250506_195235_20250506_195233_no-helm_conf0.63.jpg,no-helm,0.6318038702011108
20250506_195239,20250506_195239_20250506_195237_no-helm_conf0.78.jpg,no-helm,0.7787905335426331
20250506_195242,20250506_195242_20250506_195240_no-helm_conf0.63.jpg,no-helm,0.628338634967804
20250506_195251,20250506_195251_20250506_195249_no-helm_conf0.64.jpg,no-helm,0.6380362510681152
20250506_195253,20250506_195253_20250506_195251_no-helm_conf0.61.jpg,no-helm,0.6063085198402405
20250506_195256,20250506_195256_20250506_195254_no-helm_conf0.54.jpg,no-helm,0.5386978387832642
20250506_195301,20250506_195301_20250506_195259_no-helm_conf0.51.jpg,no-helm,0.5096123814582825
20250506_195303,20250506_195303_20250506_195301_no-helm_conf0.60.jpg,no-helm,0.6021024584770203
20250506_200302,20250506_200302_20250506_200300_no-vest_conf0.52.jpg,no-vest,0.5194071531295776
20250506_200305,20250506_200305_20250506_200302_no-vest_conf0.73.jpg,no-vest,0.7293164730072021
